,sentence,sentiment,source
0,So there is no way for me to plug it in here in the US unless I go by a converter.,0,amazon_cells_labelled
1,"Good case, Excellent value.",1,amazon_cells_labelled
2,Great for the jawbone.,1,amazon_cells_labelled
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,amazon_cells_labelled
4,The mic is great.,1,amazon_cells_labelled
5,I have to jiggle the plug to get it to line up right to get decent volume.,0,amazon_cells_labelled
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,amazon_cells_labelled
7,If you are Razr owner...you must have this!,1,amazon_cells_labelled
8,"Needless to say, I wasted my money.",0,amazon_cells_labelled
9,What a waste of money and time!.,0,amazon_cells_labelled
10,And the sound quality is great.,1,amazon_cells_labelled
11,He was very impressed when going from the original battery to the extended battery.,1,amazon_cells_labelled
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,amazon_cells_labelled
13,Very good quality though,1,amazon_cells_labelled
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,amazon_cells_labelled
15,Highly recommend for any one who has a blue tooth phone.,1,amazon_cells_labelled
16,I advise EVERYONE DO NOT BE FOOLED!,0,amazon_cells_labelled
17,So Far So Good!.,1,amazon_cells_labelled
18,Works great!.,1,amazon_cells_labelled
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,0,amazon_cells_labelled
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,amazon_cells_labelled
21,I bought this to use with my Kindle Fire and absolutely loved it!,1,amazon_cells_labelled
22,The commercials are the most misleading.,0,amazon_cells_labelled
23,I have yet to run this new battery below two bars and that's three days without charging.,1,amazon_cells_labelled
24,I bought it for my mother and she had a problem with the battery.,0,amazon_cells_labelled
25,Great Pocket PC / phone combination.,1,amazon_cells_labelled
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,amazon_cells_labelled
27,I didn't think that the instructions provided were helpful to me.,0,amazon_cells_labelled
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,amazon_cells_labelled
29,Doesn't hold charge.,0,amazon_cells_labelled
30,"This is a simple little phone to use, but the breakage is unacceptible.",0,amazon_cells_labelled
31,This product is ideal for people like me whose ears are very sensitive.,1,amazon_cells_labelled
32,It is unusable in a moving car at freeway speed.,0,amazon_cells_labelled
33,I have two more years left in this contract and I hate this phone.,0,amazon_cells_labelled
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,amazon_cells_labelled
35,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,amazon_cells_labelled
36,It has kept up very well.,1,amazon_cells_labelled
37,Poor Talk Time Performance.,0,amazon_cells_labelled
38,The case is great and works fine with the 680.,1,amazon_cells_labelled
39,worthless product.,0,amazon_cells_labelled
40,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,amazon_cells_labelled
41,I was not impressed by this product.,0,amazon_cells_labelled
42,Nice headset priced right.,1,amazon_cells_labelled
43,I only hear garbage for audio.,0,amazon_cells_labelled
44,Excellent bluetooth headset.,1,amazon_cells_labelled
45,It has all the features I want,1,amazon_cells_labelled
46,Who in their right mind is gonna buy this battery?.,0,amazon_cells_labelled
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,amazon_cells_labelled
48,This case seems well made.,1,amazon_cells_labelled
49,Disappointed with battery.,0,amazon_cells_labelled
50,Not loud enough and doesn't turn on like it should.,0,amazon_cells_labelled
51,good protection and does not make phone too bulky.,1,amazon_cells_labelled
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,amazon_cells_labelled
53,This phone is pretty sturdy and I've never had any large problems with it.,1,amazon_cells_labelled
54,I love this thing!,1,amazon_cells_labelled
55,Everything about it is fine and reasonable for the price i.e.,1,amazon_cells_labelled
56,VERY DISAPPOINTED.,0,amazon_cells_labelled
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,amazon_cells_labelled
58,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,amazon_cells_labelled
59,The buttons for on and off are bad.,0,amazon_cells_labelled
60,Essentially you can forget Microsoft's tech support.,0,amazon_cells_labelled
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",1,amazon_cells_labelled
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,amazon_cells_labelled
63,Buy a different phone - but not this.,0,amazon_cells_labelled
64,You have to hold the phone at a particular angle for the other party to hear you clearly.,0,amazon_cells_labelled
65,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,amazon_cells_labelled
66,"A week later after I activated it, it suddenly died.",0,amazon_cells_labelled
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,amazon_cells_labelled
68,Great for iPODs too.,1,amazon_cells_labelled
69,This device is great in several situations:1.),1,amazon_cells_labelled
70,Mic Doesn't work.,0,amazon_cells_labelled
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,amazon_cells_labelled
72,Great choice!,1,amazon_cells_labelled
73,Nice docking station for home or work.,1,amazon_cells_labelled
74,This is a beautiful phone.,1,amazon_cells_labelled
75,Love this product.,1,amazon_cells_labelled
76,Do Not Buy for D807...wrongly advertised for D807.,0,amazon_cells_labelled
77,This is a great little item.,1,amazon_cells_labelled
78,"I love this phone , It is very handy and has a lot of features .",1,amazon_cells_labelled
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,0,amazon_cells_labelled
80,I wear it everyday and it holds up very well.,1,amazon_cells_labelled
81,Not a good bargain.,0,amazon_cells_labelled
82,"Well packaged, arrived on time, and works as intended.",1,amazon_cells_labelled
83,The battery runs down quickly.,0,amazon_cells_labelled
84,"This item worked great, but it broke after 6 months of use.",0,amazon_cells_labelled
85,The headsets are easy to use and everyone loves them.,1,amazon_cells_labelled
86,This phone works great.,1,amazon_cells_labelled
87,The construction of the headsets is poor.,0,amazon_cells_labelled
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,1,amazon_cells_labelled
89,The phone loads super!,1,amazon_cells_labelled
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,amazon_cells_labelled
91,Made very sturdy.,1,amazon_cells_labelled
92,Worked great!.,1,amazon_cells_labelled
93,The ear buds only play music in one ear.,0,amazon_cells_labelled
94,Dont waste your money...,0,amazon_cells_labelled
95,Will order from them again!,1,amazon_cells_labelled
96,If you plan to use this in a car forget about it.,0,amazon_cells_labelled
97,I found this product to be waaay too big.,0,amazon_cells_labelled
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,amazon_cells_labelled
99,I'm very disappointed with my decision.,0,amazon_cells_labelled
100,Integrated seamlessly with the Motorola RAZR phone.,1,amazon_cells_labelled
101,"Buyer Beware, you could flush money right down the toilet.",0,amazon_cells_labelled
102,Definitely a bargain.,1,amazon_cells_labelled
103,The price was very good and with the free shipping and all it was a good purchase.,1,amazon_cells_labelled
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,amazon_cells_labelled
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,amazon_cells_labelled
106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,amazon_cells_labelled
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,amazon_cells_labelled
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,amazon_cells_labelled
109,I purcashed this for the car charger and it does not work.,0,amazon_cells_labelled
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,amazon_cells_labelled
111,This phone is slim and light and the display is beautiful.,1,amazon_cells_labelled
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,amazon_cells_labelled
113,"Great product, fast shipping!.",1,amazon_cells_labelled
114,Absolutely great.,1,amazon_cells_labelled
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,amazon_cells_labelled
116,i got this phone around the end of may and i'm completely unhappy with it.,0,amazon_cells_labelled
117,It is very comfortable on the ear.,1,amazon_cells_labelled
118,It has been a winner for us.,1,amazon_cells_labelled
119,)Setup couldn't have been simpler.,1,amazon_cells_labelled
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,amazon_cells_labelled
121,Could not get strong enough signal.,0,amazon_cells_labelled
122,Iam very pleased with my purchase.,1,amazon_cells_labelled
123,Bad Quality.,0,amazon_cells_labelled
124,Gets the job done.,1,amazon_cells_labelled
125,Great audio!.,1,amazon_cells_labelled
126,Basically the service was very bad.,0,amazon_cells_labelled
127,it did not work in my cell phone plug i am very up set with the charger!.,0,amazon_cells_labelled
128,"I've only had my bluetooth for a few weeks, but I really like it.",1,amazon_cells_labelled
129,The BT headset was such a disapoinment.,0,amazon_cells_labelled
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1,amazon_cells_labelled
131,The accompanied software is almost brilliant.,1,amazon_cells_labelled
132,Headset works great & was packaged nicely to avoid any damage.,1,amazon_cells_labelled
133,!I definitly recommend!!,1,amazon_cells_labelled
134,Buyer--Be Very Careful!!!!!.,0,amazon_cells_labelled
135,The majority of the Logitech earbud headsets failed.,0,amazon_cells_labelled
136,Very good stuff for the price.,1,amazon_cells_labelled
137,My headset works just peachy-keen.,1,amazon_cells_labelled
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,amazon_cells_labelled
139,Voice recognition is tremendous!,1,amazon_cells_labelled
140,What a waste.,0,amazon_cells_labelled
141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,amazon_cells_labelled
142,I was not happy with this item.,0,amazon_cells_labelled
143,very disappointed.,0,amazon_cells_labelled
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,0,amazon_cells_labelled
145,I got this phone on reccomendation from a relative and I'm glad I did.,1,amazon_cells_labelled
146,What a waste of time!,0,amazon_cells_labelled
147,Its reception is very very poor.,0,amazon_cells_labelled
148,Items stated as included from the description ARE NOT INCLUDED.,0,amazon_cells_labelled
149,"After 3 months, screen just went black all of a sudden.",0,amazon_cells_labelled
150,I Was Hoping for More.,0,amazon_cells_labelled
151,"Audio Quality is poor, very poor.",0,amazon_cells_labelled
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,amazon_cells_labelled
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,amazon_cells_labelled
154,I've bought $5 wired headphones that sound better than these.,0,amazon_cells_labelled
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,amazon_cells_labelled
156,"Nice quality build, unlike some cheap s*** out there.",1,amazon_cells_labelled
157,This item is fantastic and works perfectly!,1,amazon_cells_labelled
158,And I just love the colors!,1,amazon_cells_labelled
159,W810i is just SUPERB.,1,amazon_cells_labelled
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,amazon_cells_labelled
161,Great charger.,1,amazon_cells_labelled
